2026-03-03 00:00:03 | INFO     | __main__:run:557 - Processing grantee code: 2AC6A
2026-03-03 00:00:03 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: 2AC6A
2026-03-03 00:00:04 | ERROR    | __main__:search_by_grantee:356 - Request error for 2AC6A: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-03 00:00:04 | WARNING  | __main__:run:573 -   No records found for 2AC6A
2026-03-03 00:00:04 | INFO     | __main__:run:557 - Processing grantee code: 2AR9L
2026-03-03 00:00:04 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: 2AR9L
2026-03-03 00:00:04 | ERROR    | __main__:search_by_grantee:356 - Request error for 2AR9L: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-03 00:00:04 | WARNING  | __main__:run:573 -   No records found for 2AR9L
2026-03-03 00:00:04 | INFO     | __main__:run:595 - ============================================================
2026-03-03 00:00:04 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: UZ7
2026-03-03 00:00:04 | ERROR    | __main__:search_by_grantee:356 - Request error for UZ7: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-03 00:00:04 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: HD5
2026-03-03 00:00:05 | ERROR    | __main__:search_by_grantee:356 - Request error for HD5: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-03 00:00:05 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: U4F
2026-03-03 00:00:05 | ERROR    | __main__:search_by_grantee:356 - Request error for U4F: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-03 00:00:05 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: U4G
2026-03-03 00:00:05 | ERROR    | __main__:search_by_grantee:356 - Request error for U4G: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-03 00:00:05 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: V2X
2026-03-03 00:00:06 | ERROR    | __main__:search_by_grantee:356 - Request error for V2X: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-03 00:00:06 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: SS4
2026-03-03 00:00:06 | ERROR    | __main__:search_by_grantee:356 - Request error for SS4: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-03 00:00:06 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: HLE
2026-03-03 00:00:06 | ERROR    | __main__:search_by_grantee:356 - Request error for HLE: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-03 00:00:06 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: 2AOJL
2026-03-03 00:00:07 | ERROR    | __main__:search_by_grantee:356 - Request error for 2AOJL: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-03 00:00:07 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: 2AC6A
2026-03-03 00:00:07 | ERROR    | __main__:search_by_grantee:356 - Request error for 2AC6A: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-03 00:00:07 | INFO     | __main__:search_by_grantee:343 - Fetching FCC data for grantee: 2AR9L
2026-03-03 00:00:07 | ERROR    | __main__:search_by_grantee:356 - Request error for 2AR9L: TLS/SSL connection has been closed (EOF) (_ssl.c:992)
2026-03-03 00:00:07 | INFO     | __main__:run:596 - Crawl complete. Total: 0, New: 0
2026-03-03 00:00:07 | INFO     | __main__:run:597 - ============================================================
